#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: Guns.png (892 x 464)
# $TexturePacker:SmartUpdate:c022dad3267a83ba81b69a2281a73031:8420a1cde7278d2c053827473f98f5eb:7776c10cf51089ac9560b2fb64f1143a$
#

female/walkDown/frame18;1;80;291;47;28;28;47;0.5;0.5
female/walkDown/frame19;0;771;51;28;47;28;47;0.5;0.5
female/walkDown/frame20;0;801;1;27;48;27;48;0.5;0.5
female/walkDown/frame21;0;771;197;25;47;25;47;0.5;0.5
female/walkDown/frame22;0;771;1;28;48;28;48;0.5;0.5
female/walkDown/frame23;0;1;372;28;47;28;47;0.5;0.5
female/walkDown/frame24;0;31;322;27;48;27;48;0.5;0.5
female/walkDown/frame25;0;801;99;25;47;25;47;0.5;0.5
female/walkDown/frame26;0;1;322;28;48;28;48;0.5;0.5
female/walkLeft/frame9;1;518;291;47;20;20;47;0.5;0.5
female/walkLeft/frame10;1;422;291;46;21;21;46;0.5;0.5
female/walkLeft/frame11;0;60;370;19;45;19;45;0.5;0.5
female/walkLeft/frame12;1;470;291;46;21;21;46;0.5;0.5
female/walkLeft/frame13;1;275;291;47;25;25;47;0.5;0.5
female/walkLeft/frame14;0;801;51;27;46;27;46;0.5;0.5
female/walkLeft/frame15;0;860;1;24;46;24;46;0.5;0.5
female/walkLeft/frame16;1;324;291;47;21;21;47;0.5;0.5
female/walkLeft/frame17;1;616;291;47;19;19;47;0.5;0.5
female/walkRight/frame27;1;567;291;47;20;20;47;0.5;0.5
female/walkRight/frame28;1;714;291;46;21;21;46;0.5;0.5
female/walkRight/frame29;0;83;321;19;45;19;45;0.5;0.5
female/walkRight/frame30;0;60;322;21;46;21;46;0.5;0.5
female/walkRight/frame31;0;801;148;25;47;25;47;0.5;0.5
female/walkRight/frame32;0;31;372;27;46;27;46;0.5;0.5
female/walkRight/frame33;0;858;49;24;46;24;46;0.5;0.5
female/walkRight/frame34;1;373;291;47;21;21;47;0.5;0.5
female/walkRight/frame35;1;665;291;47;19;19;47;0.5;0.5
female/walkUp/frame0;0;830;1;28;46;28;46;0.5;0.5
female/walkUp/frame1;1;178;291;46;28;28;46;0.5;0.5
female/walkUp/frame2;0;830;49;26;47;26;47;0.5;0.5
female/walkUp/frame3;0;798;197;24;47;24;47;0.5;0.5
female/walkUp/frame4;1;129;291;47;28;28;47;0.5;0.5
female/walkUp/frame5;0;771;149;28;46;28;46;0.5;0.5
female/walkUp/frame6;1;226;291;47;26;26;47;0.5;0.5
female/walkUp/frame7;1;771;246;47;24;24;47;0.5;0.5
female/walkUp/frame8;0;771;100;28;47;28;47;0.5;0.5
Ghost/0;0;1;421;27;27;27;27;0.5;0.5
Ghost/1;0;104;321;27;27;27;27;0.5;0.5
Ghost/2;0;342;372;27;27;27;27;0.5;0.5
Ghost/3;0;661;370;27;27;27;27;0.5;0.5
Ghost/4;0;371;401;27;27;27;27;0.5;0.5
Ghost/5;0;690;372;27;27;27;27;0.5;0.5
Ghost/6;0;824;226;27;27;27;27;0.5;0.5
Ghost/7;0;864;213;27;27;27;27;0.5;0.5
Ghost/8;0;400;430;27;27;27;27;0.5;0.5
Ghost/9;0;719;430;27;27;27;27;0.5;0.5
Ghost/10;0;133;321;27;27;27;27;0.5;0.5
Ghost/11;0;278;318;27;27;27;27;0.5;0.5
Ghost/12;0;423;343;27;27;27;27;0.5;0.5
Ghost/13;0;597;313;27;27;27;27;0.5;0.5
Ghost/14;0;742;343;27;27;27;27;0.5;0.5
Ghost/15;0;197;379;27;27;27;27;0.5;0.5
Ghost/16;0;226;379;27;27;27;27;0.5;0.5
Ghost/17;0;255;377;27;27;27;27;0.5;0.5
Ghost/18;0;284;376;27;27;27;27;0.5;0.5
Ghost/19;0;313;376;27;27;27;27;0.5;0.5
Ghost/20;0;371;372;27;27;27;27;0.5;0.5
Ghost/21;0;400;372;27;27;27;27;0.5;0.5
Ghost/22;0;429;372;27;27;27;27;0.5;0.5
Ghost/23;0;458;372;27;27;27;27;0.5;0.5
Ghost/24;0;487;372;27;27;27;27;0.5;0.5
Ghost/25;0;516;372;27;27;27;27;0.5;0.5
Ghost/26;0;545;371;27;27;27;27;0.5;0.5
Ghost/27;0;574;371;27;27;27;27;0.5;0.5
